origem_latitude,origem_longitude,dest_realizado_latitude,dest_realizado_longitude
-29.894283,-51.173923,-23.928333,-46.369167
-22.313276,-49.133789,-25.511146,-54.565616
-23.008442,-47.144659,-23.425529,-46.487609
23.425529,46.487609,-23.425529,-46.487609
-29.894283,-51.173923,-23.425529,-46.487609
-1.424906,-48.491270,-1.544159,-48.747067
-25.532708,-49.174669,-22.828385,-43.246138
-23.613097,-46.545183,-23.425529,-46.487609
-29.894283,-51.173923,-23.926389,-46.341944
-18.856357,-41.941383,-23.425529,-46.487609
-19.706232,-47.979743,-23.962603,-46.297071
-26.950575,-48.750261,-23.926389,-46.341944
-19.375669,-43.575430,-23.425529,-46.487609
-19.947702,-44.160691,-22.895512,-43.183987
-19.947702,-44.160691,-23.924612,-46.344577
-22.876618,-43.211749,-23.926389,-46.341944
-29.989934,-51.176718,-23.425529,-46.487609
-23.262304,-45.950952,-23.008442,-47.144659
-22.883193,-43.117472,-22.828385,-43.246138
-24.988688,-53.329886,-25.511146,-54.565616
-21.286838,-46.692812,-23.962603,-46.297071
-22.441430,-44.368614,-23.008442,-47.144659
-25.517412,-49.321523,-25.505405,-48.517371
-21.286838,-46.692812,-23.922908,-46.353124
-29.715709,-51.111095,-28.590784,-56.030806
-22.873494,-43.233163,-22.930628,-43.838309
-23.528605,-46.740544,-23.425529,-46.487609
-23.924202,-46.372288,-23.970583,-46.296805
-25.532708,-49.174669,-23.425529,-46.487609
-25.532708,-49.174669,-23.008442,-47.144659
-23.262304,-45.950952,-23.425529,-46.487609
-26.904543,-48.656028,-23.928333,-46.369167
-22.875688,-47.124929,-23.425529,-46.487609
-23.924202,-46.372288,-23.922908,-46.353124
-22.842349,-47.150053,-23.962603,-46.297071
-23.423586,-47.358660,-23.008442,-47.144659
-23.748410,-46.583398,-23.425529,-46.487609
-23.642804,-46.325548,-23.425529,-46.487609
-23.573073,-46.604626,-23.425529,-46.487609
-29.771028,-52.420889,-32.030602,-52.094417
-29.715709,-51.111095,-23.928333,-46.369167
-23.924202,-46.372288,-23.962603,-46.297071
-23.642804,-46.325548,-23.922774,-46.318757
-23.052352,-45.625589,-23.425529,-46.487609
-25.517412,-49.321523,-23.931667,-46.365000
-25.517412,-49.321523,-23.928333,-46.369167
-23.642804,-46.325548,-23.962603,-46.297071
-21.586401,-45.470720,-23.970583,-46.296805
-21.586401,-45.470720,-23.425529,-46.487609
-23.613097,-46.545183,-29.747888,-57.083624
-23.747239,-46.559391,-23.922774,-46.318757
-21.286838,-46.692812,-23.922774,-46.318757
-23.494815,-46.843764,-23.425529,-46.487609
-22.842349,-47.150053,-25.511146,-54.565616
-23.584390,-46.677267,-23.425529,-46.487609
-23.747239,-46.559391,-23.425529,-46.487609
-12.832000,-38.403400,-23.926389,-46.341944
-19.706232,-47.979743,-23.970583,-46.296805
-23.681718,-46.697327,-23.927778,-46.371111
-29.715709,-51.111095,-32.030602,-52.094417
-23.947927,-46.315956,-19.022251,-57.689835
-22.875688,-47.124929,-23.962603,-46.297071
-22.875688,-47.124929,-23.926389,-46.341944
-23.642804,-46.325548,-23.927778,-46.371111
-26.903933,-48.711630,-26.242207,-48.638987
-23.947927,-46.315956,-25.511146,-54.565616
-23.924202,-46.372288,-23.922774,-46.318757
-12.832000,-38.403400,-23.928333,-46.369167
-19.706232,-47.979743,-23.425529,-46.487609
-19.375669,-43.575430,-22.828385,-43.246138
-23.681718,-46.697327,-23.425529,-46.487609
-25.517412,-49.321523,-29.747888,-57.083624
-23.538573,-46.755232,-23.425529,-46.487609
-22.875688,-47.124929,-23.008442,-47.144659
-19.706232,-47.979743,-23.922908,-46.353124
-23.747239,-46.559391,-23.008442,-47.144659
-29.894283,-51.173923,-25.511146,-54.565616
-23.494815,-46.843764,-23.008442,-47.144659
-29.894283,-51.173923,-32.030602,-52.094417
-19.947702,-44.160691,-23.926389,-46.341944
-19.375669,-43.575430,-23.008442,-47.144659
-23.494815,-46.843764,-23.924656,-46.345949
-23.262304,-45.950952,-23.962603,-46.297071
-25.517412,-49.321523,-23.926389,-46.341944
-23.223612,-45.861625,-23.008442,-47.144659
-23.262304,-45.950952,-23.262304,-45.950952
-29.788230,-52.407895,-29.989934,-51.176718
-22.842349,-47.150053,-23.922908,-46.353124
-23.613097,-46.545183,-23.962603,-46.297071
-12.642467,-38.306291,-12.970800,-38.513900
-23.223612,-45.861625,-23.425529,-46.487609
-23.748410,-46.583398,-23.962603,-46.297071
-19.706232,-47.979743,-23.922774,-46.318757
-22.828385,-43.246138,-23.425529,-46.487609
-23.423586,-47.358660,-23.425529,-46.487609
-20.227518,-40.368443,-20.259270,-40.296372
-22.842349,-47.150053,-23.008442,-47.144659
-16.397060,-48.932505,-23.962603,-46.297071
-23.963137,-46.472959,-23.922908,-46.353124
-23.681718,-46.697327,-23.962603,-46.297071
-25.514891,-48.527652,-25.505405,-48.517371
-23.748410,-46.583398,-23.922908,-46.353124
-29.715709,-51.111095,-29.989934,-51.176718
-23.423586,-47.358660,-23.922908,-46.353124
-22.313276,-49.133789,-23.962603,-46.297071
-23.924157,-46.386852,-23.962603,-46.297071
-21.586401,-45.470720,-23.962603,-46.297071
-22.876618,-43.211749,-23.927778,-46.371111
-23.613097,-46.545183,-23.008442,-47.144659
-22.223380,-45.873405,-23.008442,-47.144659
-22.882422,-43.231486,-22.930628,-43.838309
-22.812505,-43.274016,-22.930628,-43.838309
-23.423586,-47.358660,-23.962603,-46.297071
-20.233624,-40.372041,-20.328086,-40.309449
-19.947702,-44.160691,-23.928333,-46.369167
-26.950575,-48.750261,-26.950575,-48.750261
-22.828385,-43.246138,-23.008442,-47.144659
-23.642804,-46.325548,-23.922908,-46.353124
-23.922421,-46.384537,-23.922908,-46.353124
-23.922421,-46.384537,-23.922774,-46.318757
-19.925639,-44.050901,-22.895512,-43.183987
-23.423586,-47.358660,-23.927222,-46.334722
-23.642804,-46.325548,-23.008442,-47.144659
-23.681718,-46.697327,-23.008442,-47.144659
-29.715709,-51.111095,-23.926389,-46.341944
-19.925639,-44.050901,-22.930628,-43.838309
-29.894283,-51.173923,-23.008442,-47.144659
-23.425529,-46.487609,-23.008442,-47.144659
-29.771028,-52.420889,-23.008442,-47.144659
-18.876518,-48.306970,-23.922774,-46.318757
-18.876518,-48.306970,-23.922908,-46.353124
-29.989934,-51.176718,-29.989934,-51.176718
-22.895512,-43.183987,-23.928333,-46.369167
-18.876518,-48.306970,-23.962603,-46.297071
-23.538573,-46.755232,-23.008442,-47.144659
-23.926389,-46.341944,-23.922908,-46.353124
-22.876337,-43.223938,-22.930628,-43.838309
-23.947500,-46.277222,-23.425529,-46.487609
-23.748410,-46.583398,-23.008442,-47.144659
-22.805000,-43.237600,-22.895512,-43.183987
-22.842349,-47.150053,-23.922774,-46.318757
-22.842349,-47.150053,-23.425529,-46.487609
-23.757186,-46.582209,-23.922908,-46.353124
-23.573073,-46.604626,-23.962603,-46.297071
-12.832000,-38.403400,-12.970800,-38.513900
-23.423586,-47.358660,-23.922774,-46.318757
-23.963137,-46.472959,-23.962603,-46.297071
-25.563829,-49.169391,-25.505405,-48.517371
-15.662750,-55.982554,-26.242207,-48.638987
-23.681718,-46.697327,-23.681718,-46.697327
-22.812647,-43.273870,-22.930628,-43.838309
-29.771028,-52.420889,-29.989934,-51.176718
-21.586401,-45.470720,-23.922908,-46.353124
-23.223612,-45.861625,-3.029735,-60.041227
-22.313276,-49.133789,-23.922908,-46.353124
-23.494815,-46.843764,-23.962603,-46.297071
-32.030602,-52.094417,-26.904543,-48.656028
-19.947702,-44.160691,-19.947702,-44.160691
-26.950575,-48.750261,-25.517412,-49.321523
-8.365199,-35.043825,-8.392991,-34.971536
-12.832000,-38.403400,-23.927778,-46.371111
-29.132459,-51.190494,-32.030602,-52.094417
-21.839250,-46.646205,-23.962603,-46.297071
-3.029735,-60.041227,-23.425529,-46.487609
-16.632042,-49.228669,-23.425529,-46.487609
-23.967882,-46.328887,-23.963539,-46.291054
-3.155787,-59.990834,-22.930628,-43.838309
-3.155787,-59.990834,-23.962603,-46.297071
-3.151545,-59.997958,-8.392991,-34.971536
-20.259270,-40.296372,-20.259270,-40.296372
-23.928333,-46.369167,-23.970583,-46.296805
18.550700,48.163800,-23.008442,-47.144659
-3.778340,-38.534974,-23.425529,-46.487609
-26.223333,-48.800833,-23.425529,-46.487609
-8.365199,-35.043825,-23.928333,-46.369167
-3.155787,-59.990834,4.480429,-61.149013
-8.392991,-34.971536,-23.962603,-46.297071
-23.642804,-46.325548,-28.590784,-56.030806
-26.904543,-48.656028,-23.926389,-46.341944
-23.538573,-46.755232,-29.747888,-57.083624
-22.441430,-44.368614,-25.511146,-54.565616
-19.947702,-44.160691,-28.590784,-56.030806
-3.155787,-59.990834,-25.511146,-54.565616
-3.155787,-59.990834,-19.022251,-57.689835
-23.642804,-46.325548,-29.747888,-57.083624
-22.441430,-44.368614,-33.672274,-53.444504
-22.876618,-43.211749,-23.928333,-46.369167
-22.895512,-43.183987,-22.895512,-43.183987
-22.895512,-43.183987,-23.922774,-46.318757
-23.538573,-46.755232,-25.511146,-54.565616
-26.950575,-48.750261,-23.924612,-46.344577
-27.573619,-54.672925,-25.511146,-54.565616
-23.223612,-45.861625,-8.128981,-34.918344
-26.904543,-48.656028,-23.927778,-46.371111
-29.715709,-51.111095,-29.747888,-57.083624
-23.423586,-47.358660,-28.590784,-56.030806
-29.715709,-51.111095,-23.924612,-46.344577
-29.715709,-51.111095,-23.927778,-46.371111
-23.407321,-51.984240,-25.511146,-54.565616
-22.441430,-44.368614,-22.828385,-43.246138
-25.517412,-49.321523,-26.242207,-48.638987
-21.181900,46.424600,-23.922774,-46.318757
-29.894283,-51.173923,-23.927778,-46.371111
-22.876618,-43.211749,-23.924612,-46.344577
-29.715709,-51.111095,-23.931667,-46.365000
-23.494815,-46.843764,-23.928333,-46.369167
-23.425529,-46.487609,-23.528605,-46.740544
-29.132459,-51.190494,-29.989934,-51.176718
-23.642804,-46.325548,-30.912105,-55.508841
-23.642804,-46.325548,-25.511146,-54.565616
-22.883073,-43.236652,-22.895512,-43.183987
-22.875688,-47.124929,-25.511146,-54.565616
-27.670113,-48.548154,-23.425529,-46.487609
-29.894283,-51.173923,-26.242207,-48.638987
-23.681718,-46.697327,-25.511146,-54.565616
-22.875688,-47.124929,-19.022251,-57.689835
-3.155787,-59.990834,-32.533532,-53.356914
-23.423586,-47.358660,-25.511146,-54.565616
-29.771028,-52.420889,-25.511146,-54.565616
-15.662750,-55.982554,-26.904543,-48.656028
-25.517412,-49.321523,-25.511146,-54.565616
-22.313276,-49.133789,-19.022251,-57.689835
-21.586401,-45.470720,-23.922774,-46.318757
-23.423586,-47.358660,-22.553929,-55.718001
-23.928333,-46.369167,-23.962603,-46.297071
-23.613097,-46.545183,-23.613097,-46.545183
-23.052352,-45.625589,-23.962603,-46.297071
-21.286838,-46.692812,-23.970583,-46.296805
-23.613097,-46.545183,-23.922908,-46.353124
-23.407321,-51.984240,-25.505405,-48.517371
-8.248064,-34.999148,-5.764685,-35.375289
-18.876518,-48.306970,-23.008442,-47.144659
-25.517412,-49.321523,-23.927778,-46.371111
-22.313276,-49.133789,-23.922774,-46.318757
-23.008442,-47.144659,-22.828385,-43.246138
-23.425529,-46.487609,-22.828385,-43.246138
-23.747239,-46.559391,-29.747888,-57.083624
-29.771028,-52.420889,-33.672274,-53.444504
