origem_latitude,origem_longitude,dest_realizado_latitude,dest_realizado_longitude,distancia_text,distancia_value,duracao_text_Google,duracao_value_Google,endereco_origem,endereco_destino
-29.894283,-51.173923,-23.928333,-46.369167,"1,128 km",1127753.0,13 hours 41 mins,49257.0,"Av. Armando Fajardo, 11 - Igara, Canoas - RS, 92410-040, Brazil","Av. Marginal da Anchieta S/N - Chico de Paula, Santos - SP, 11095-000, Brazil"
-22.313276,-49.133789,-25.511146,-54.565616,791 km,791266.0,10 hours 8 mins,36454.0,"SP-294 - Nucleo Hab. Edson Francisco da Silva, Bauru - SP, 17057, Brazil","Rua Edgard Schimmelpfeng, 640 - Imóvel Acaraizinho, Foz do Iguaçu - PR, 85863-640, Brazil"
-23.008442,-47.144659,-23.425529,-46.487609,114 km,114354.0,1 hour 29 mins,5352.0,"Av. Embarque, 290 - Jardim Chapadão, Campinas - SP, 13070-051, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-29.894283,-51.173923,-23.425529,-46.487609,"1,164 km",1164423.0,14 hours 17 mins,51411.0,"Av. Armando Fajardo, 11 - Igara, Canoas - RS, 92410-040, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-1.424906,-48.49127,-1.544159,-48.747067,109 km,108913.0,2 hours 0 mins,7212.0,"R. Prof. Nelson Ribeiro, 28 - Umarizal, Belém - PA, 66113-075, Brazil","Porto de Vila do Conde - Apocon - Rodovia PA-481, Km 2.3, s/n - Vila Murucupi, Barcarena - PA, 68447-000, Brazil"
-25.532708,-49.174669,-22.828385,-43.246138,844 km,844242.0,10 hours 49 mins,38915.0,"Unnamed Road - Águas Belas, São José dos Pinhais - PR, 83010, Brazil","Unnamed Road - Galeão, Rio de Janeiro - RJ, 21941-570, Brazil"
-23.613097,-46.545183,-23.425529,-46.487609,31.3 km,31258.0,46 mins,2770.0,"Av. Prosperidade, 300 - Prosperidade, São Caetano do Sul - SP, 09220-590, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-29.894283,-51.173923,-23.926389,-46.341944,"1,131 km",1131114.0,13 hours 49 mins,49723.0,"Av. Armando Fajardo, 11 - Igara, Canoas - RS, 92410-040, Brazil","Av. Eng. Augusto Barata, 199 - Porto Saboó, Santos - SP, 11081, Brazil"
-18.856357,-41.941383,-23.425529,-46.487609,897 km,896799.0,12 hours 23 mins,44593.0,"Av. Brasil, 2866 - Centro, Gov. Valadares - MG, 35020-070, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-19.706232,-47.979743,-23.962603,-46.297071,572 km,571830.0,7 hours 1 min,25282.0,"Av. Cel. Zacarias Borges de Araújo, 532 - Distrito Industrial I, Uberaba - MG, 38064-700, Brazil","Vicente de Carvalho, Guarujá - State of São Paulo, Brazil"
-26.950575,-48.750261,-23.926389,-46.341944,605 km,605078.0,7 hours 45 mins,27928.0,"R. Antônio Bento da Silva, 98 - Itaipava, Itajaí - SC, 88316-630, Brazil","Av. Eng. Augusto Barata, 199 - Porto Saboó, Santos - SP, 11081, Brazil"
-19.375669,-43.57543,-23.425529,-46.487609,685 km,684965.0,9 hours 13 mins,33157.0,"Jaboticatubas, MG, 35830-000, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-19.947702,-44.160691,-22.895512,-43.183987,456 km,455842.0,6 hours 22 mins,22908.0,"Av. Campo de Ourique, 1603 - Jardim Alterosa, Betim - MG, 32670-704, Brazil","Av. Rodrigues Alves, 81 - Centro, Rio de Janeiro - RJ, 20091-000, Brazil"
-19.947702,-44.160691,-23.924612,-46.344577,622 km,622452.0,8 hours 13 mins,29576.0,"Av. Campo de Ourique, 1603 - Jardim Alterosa, Betim - MG, 32670-704, Brazil","Av. Eng. Augusto Barata, 411 - Morro da Penha, Santos - SP, 11095-000, Brazil"
-22.876618,-43.211749,-23.926389,-46.341944,501 km,501264.0,6 hours 10 mins,22213.0,"R. Gen. Gurjão, 105 - Caju, Rio de Janeiro - RJ, 20931-040, Brazil","Av. Eng. Augusto Barata, 199 - Porto Saboó, Santos - SP, 11081, Brazil"
-29.989934,-51.176718,-23.425529,-46.487609,"1,157 km",1157011.0,14 hours 12 mins,51129.0,"Avenida Severo Dulius - Anchieta, Porto Alegre - RS, 90200-310, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-23.262304,-45.950952,-23.008442,-47.144659,167 km,167172.0,2 hours 5 mins,7487.0,"Avenida Getúlio Dorneles Vargas, 3071-3091 - Chacaras Rurais Santa Maria, Jacareí - SP, 12305, Brazil","Av. Embarque, 290 - Jardim Chapadão, Campinas - SP, 13070-051, Brazil"
-22.883193,-43.117472,-22.828385,-43.246138,23.4 km,23368.0,29 mins,1731.0,"Av. Felíciano Sodré, 325 - Centro, Niterói - RJ, 24030-012, Brazil","Unnamed Road - Galeão, Rio de Janeiro - RJ, 21941-570, Brazil"
